Марка,Ціна в $,Місто
Mercedes-Benz C-Class 2021,    61 757 $    ,Луцьк 
Mercedes-Benz C-Class 2021,    60 746 $    ,Херсон 
Mercedes-Benz E-Class 2020,    69 672 $    ,Херсон 
Mercedes-Benz GLE-Class 2021,    78 398 $    ,Херсон 
Mercedes-Benz GLS-Class 2021,    119 190 $    ,Херсон 
Mercedes-Benz GLE-Class 2021,    112 544 $    ,Львів 
Mercedes-Benz E-Class 2021,    66 060 $    ,Львів 
Mercedes-Benz GLS-Class 2021,    118 131 $    ,Львів 
Mercedes-Benz GLE-Class 2021,    84 112 $    ,Львів 
Mercedes-Benz GLE-Class 2021,    121 273 $    ,Львів 
Mercedes-Benz GLC-Class 2021,    75 476 $    ,Львів 
Mercedes-Benz GLC-Class 2021,    72 624 $    ,Львів 
Mercedes-Benz Vito груз. 2021,    29 898 $    ,Луцьк 
Mercedes-Benz S-Class 2021,    194 945 $    ,Львів 
